Entries,Unique Words
0,32
1,77
2,425
3,439
4,451
5,839
6,849
7,899
8,903
9,955
10,1111
11,1248
12,1391
13,1513
14,1600
15,1735
16,1754
17,1839
18,1869
19,2021
20,2049
21,2081
22,2128
23,2143
24,2155
25,2188
26,2193
27,2208
28,2218
29,2350
30,2679
31,2802
32,2908
33,2922
34,3312
35,3393
36,3489
37,3598
38,3715
39,3822
40,3822
41,3858
42,3923
43,3979
44,4047
45,4161
46,4161
47,4234
48,4312
49,4506
50,4506
51,4521
52,4548
53,4673
54,4758
55,4811
56,4887
57,4918
58,4971
59,4976
60,5017
61,5044
62,5053
63,5053
64,5128
65,5202
66,5264
67,5354
68,5447
69,5458
70,5473
71,5497
72,5532
73,5721
74,5721
75,5721
76,5753
77,5893
78,5952
79,6216
80,6522
81,6634
82,6701
83,6932
84,7039
85,7065
86,7150
87,7228
88,7240
89,7289
90,7321
91,7383
92,7421
93,7458
94,7459
95,7463
96,7487
97,7510
98,7533
99,7557
100,7566
101,7592
102,7649
103,7651
104,7660
105,7689
106,7716
107,7770
108,7773
109,7784
110,7814
111,7832
112,7849
113,7861
114,7901
115,7910
116,7947
117,7955
118,7976
119,7982
120,8014
121,8031
122,8107
123,8135
124,8138
125,8151
126,8169
127,8179
128,8190
129,8254
130,8281
131,8395
132,8434
133,8469
134,8512
135,8542
136,8590
137,8737
138,8753
139,8838
140,8885
141,8900
142,8970
143,8982
144,9045
145,9137
146,9147
147,9157
148,9229
149,9570
150,9709
151,9859
152,10036
153,10202
154,10259
155,10281
156,10305
157,10342
158,10394
159,10491
160,10576
161,10650
162,10774
163,10788
164,10888
165,11029
166,11077
167,11085
168,11184
169,11237
170,11329
171,11518
172,11529
173,11558
174,11614
175,11664
176,11718
177,11845
178,11895
179,11907
180,11933
181,12046
182,12046
183,12046
184,12046
185,12046
186,12046
187,12046
188,12119
189,12119
190,12151
191,12244
192,12244
193,12244
194,12244
195,12244
196,12248
197,12248
198,12248
199,12304
200,12374
201,12436
202,12513
203,12586
204,12692
205,12696
206,12832
207,12910
208,12943
209,12987
210,13033
211,13083
212,13129
213,13205
214,14688
215,15220
216,17800
217,25963
