Thread ID: 70174741057220
Total: 664.733650

 %self     total     self     wait    child    calls  name
 15.12    101.22   100.51     0.00     0.71   334002  SQLite3::Statement#step (ruby_runtime:0}
  3.62    664.36    24.08     0.00   664.35  3080198  Array#each (ruby_runtime:0}
  2.87     27.93    19.09     0.00    14.65  3249734  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/connection_pool.rb:432}
  1.96     72.67    13.04     0.00    71.21  1964802  Arel::Visitors::Visitor#visit (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/visitor.rb:18}
  1.48    102.72     9.85     0.00    95.51  2695790  Class#new (ruby_runtime:0}
  1.46     93.35     9.67     0.00    85.71  1724231  Array#map (ruby_runtime:0}
  1.44      9.59     9.59     0.00     0.00   223121  SQLite3::Statement#initialize (ruby_runtime:0}
  1.10    440.01     7.30     0.00   435.72   779739  Hash#each (ruby_runtime:0}
  0.96      6.97     6.38     0.00     0.58   700013  Array#- (ruby_runtime:0}
  0.87      5.77     5.77     0.00     0.00  3656050  Module#name (ruby_runtime:0}
  0.80      5.30     5.30     0.00     0.00  5153472  Module#=== (ruby_runtime:0}
  0.77     12.23     5.10     0.00     7.13   446304  <Class::ActiveRecord::DynamicFinderMatch>#match (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/dynamic_finder_match.rb:8}
  0.76      5.04     5.04     0.00     0.00  4942295  Kernel#class (ruby_runtime:0}
  0.75      5.94     4.96     0.00     0.98  2105249  Kernel#respond_to? (ruby_runtime:0}
  0.74      4.90     4.90     0.00     0.00  2458372  Symbol#to_s (ruby_runtime:0}
  0.71    141.49     4.69     0.00   136.80   192558  ActiveSupport::Notifications::Instrumenter#instrument (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/notifications/instrumenter.rb:17}
  0.69     30.54     4.59     0.00    25.95  1109930  <Class::ActiveRecord::Base>#columns_hash (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:716}
  0.67     23.95     4.49     0.00    19.46  1140502  <Class::ActiveRecord::Base>#connection_pool (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/connection_specification.rb:110}
  0.67     58.46     4.46     0.00    54.00   161973  ActiveRecord::QueryMethods#build_arel (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation/query_methods.rb:199}
  0.67     18.44     4.43     0.00    14.01   688627  ActiveRecord::AttributeMethods#respond_to? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods.rb:64}
  0.64     56.02     4.28     0.00    51.74   161965  Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:137}
  0.63     16.52     4.20     0.00    12.32   458838  ActiveRecord::AttributeMethods::Read#read_attribute (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:101}
  0.63      5.68     4.18     0.00     1.50  3358653  Hash#default (ruby_runtime:0}
  0.62     17.97     4.15     0.00    13.82   354121  Arel::Visitors::ToSql#visit_Arel_Attributes_Attribute (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:372}
  0.59    151.18     3.94     0.00   147.78   222994  <Class::ActiveRecord::Base>#with_scope (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1158}
  0.56      3.74     3.74     0.00     0.00  1397161  Array#join (ruby_runtime:0}
  0.56     50.33     3.73     0.00    46.60   259915  ActiveRecord::AttributeMethods::Dirty#write_attribute (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/dirty.rb:52}
  0.55      7.13     3.63     0.00     3.49  1692039  Hash#[]= (ruby_runtime:0}
  0.54    294.80     3.60     0.00   291.21   161650  ActiveRecord::Relation#to_a (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:104}
  0.52      8.13     3.48     0.00     4.65   354131  Arel::Visitors::ToSql#column_for (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:103}
  0.52      3.47     3.47     0.00     0.00   683930  ActiveRecord::Relation#reset (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:389}
  0.52      3.46     3.46     0.00     0.00  2789506  <Class::BasicObject>#allocate (ruby_runtime:0}
  0.52      5.16     3.44     0.00     1.72   267622  Integer#times (ruby_runtime:0}
  0.51     25.57     3.40     0.00    22.17   749274  ActiveRecord::Base#column_for_attribute (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1798}
  0.51      5.68     3.39     0.00     2.30   877148  <Class::ActiveRecord::Base>#connection_id (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/connection_specification.rb:92}
  0.50      6.11     3.35     0.00     2.76   506327  <Class::ActiveRecord::Base>#current_scope (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1221}
  0.50      3.40     3.34     0.00     0.06   506803  Array#flatten (ruby_runtime:0}
  0.50      3.33     3.33     0.00     0.00  3426385  Kernel#hash (ruby_runtime:0}
  0.50      3.29     3.29     0.00     0.00  1964802  Arel::Visitors::Visitor#dispatch (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/visitor.rb:14}
  0.49     11.18     3.26     0.00     7.91   683932  Kernel#clone (ruby_runtime:0}
  0.47    353.12     3.12     0.00   350.01   161645  <Class::ActiveRecord::Base>#method_missing (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1051}
  0.47     16.42     3.10     0.00    13.32   259915  ActiveRecord::AttributeMethods::Write#write_attribute (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/write.rb:25}
  0.46     11.85     3.06     0.00     8.79   688627  ActiveModel::AttributeMethods#respond_to? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/attribute_methods.rb:392}
  0.46      4.43     3.06     0.00     1.37  1385117  Enumerable#any? (ruby_runtime:0}
  0.45      3.00     3.00     0.00     0.00   835414  Regexp#=== (ruby_runtime:0}
  0.45      2.99     2.99     0.00     0.00  2540029  String#to_s (ruby_runtime:0}
  0.45      2.97     2.97     0.00     0.00  2329122  Kernel#is_a? (ruby_runtime:0}
  0.44    136.52     2.92     0.00   134.10   343629  ActiveSupport::Callbacks#run_callbacks (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/callbacks.rb:80}
  0.44      5.90     2.91     0.00     2.99   354098  <Class::ActiveRecord::Base>#build_default_scope (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1279}
  0.43      2.83     2.83     0.00     0.00  2648773  <Class::Thread>#current (ruby_runtime:0}
  0.41    261.22     2.75     0.00   259.55    61040  ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/database_statements.rb:166}
  0.41      2.70     2.70     0.00     0.00  1656139  Thread#[] (ruby_runtime:0}
  0.40      2.64     2.64     0.00     0.00  2538508  Array#empty? (ruby_runtime:0}
  0.40     17.66     2.63     0.00    15.03   492082  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/connection_pool.rb:407}
  0.39    104.30     2.59     0.00   101.72   253669  Kernel#loop (ruby_runtime:0}
  0.38      4.44     2.51     0.00     1.93   445988  <Class::ActiveRecord::Base>#current_scope= (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1225}
  0.37      8.16     2.48     0.00     5.68   877148  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/connection_pool.rb:316}
  0.35     16.71     2.31     0.00    14.40   259915  ActiveRecord::AttributeMethods::Dirty#field_changed? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/dirty.rb:80}
  0.33     64.83     2.21     0.00    62.62   161965  Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:126}
  0.33      3.21     2.21     0.00     1.00   259957  ActiveRecord::ConnectionAdapters::Column#type_cast (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/column.rb:70}
  0.33     11.94     2.20     0.00     9.74   198881  ActiveRecord::ConnectionAdapters::Quoting#type_cast (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/quoting.rb:45}
  0.32      8.62     2.12     0.00     6.50   684615  ActiveRecord::ConnectionAdapters::ConnectionPool#connection (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/connection_pool.rb:161}
